run_name,split
20260501_153914,discovery_train
20260610_200438,discovery_train
20260610_200614,discovery_train
20260610_200753,discovery_train
20260610_200933,discovery_train
20260610_201111,discovery_train
20260610_201249,discovery_train
20260610_201428,discovery_train
20260610_201605,discovery_train
20260701_191230,fresh_oos_test
20260701_191745,fresh_oos_test
20260701_192258,fresh_oos_test
20260701_192811,fresh_oos_test
20260701_193325,fresh_oos_test
20260701_193836,fresh_oos_test
20260701_194351,fresh_oos_test
20260701_194906,fresh_oos_test
20260701_195416,fresh_oos_test
20260701_195929,fresh_oos_test
20260701_200443,fresh_oos_test
20260701_200954,fresh_oos_test
